,Family,Genus,CP_Family_hit_percent,CP_Genus_hit_percent,Rep_Family_hit_percent,Rep_Genus_hit_percent,CP_sample_size,CP_avg_feature_len,CP_Average_Pairwise_Identity,Rep_sample_size,Rep_avg_feature_len,Rep_Average_Pairwise_Identity,Family_CP_query_count,Family_CP_subject_count,Family_Rep_query_count,Family_Rep_subject_count,Genus_CP_query_count,Genus_CP_subject_count,Genus_Rep_query_count,Genus_Rep_subject_count,Rep_Genus_local_tax,CP_Genus_local_tax,CP_Family_hit_percent_asin,CP_Genus_hit_percent_asin,Rep_Family_hit_percent_asin,Rep_Genus_local_tax_asin,CP_Genus_local_tax_asin,CP_ln_sample_size,Rep_ln_sample_size,Rep_Genus_hit_percent_asin,Rep_asin_avg_pairwise_ident,CP_asin_avg_pairwise_ident,Rep_feature_count,CP_feature_count
10,Circoviridae,Circovirus,0.992868897,0.997502082,0.950388442,0.99,1931,21.84041077,0.574,1289,17.94137931,0.602,3646,3620,7337,6973,3603,3594,5800,5742,0.675344828,0.60865945,1.451300765,1.500100377,1.254482271,0.741432164,0.654369934,7.565793282,7.161622003,1.429256853,0.64600346,0.611382408,52,55
11,Circoviridae,Cyclovirus,0.992868897,0.558139535,0.950388442,0.513988289,76,20.30769231,0.345,92,21.24561404,0.604,3646,3620,7337,6973,43,24,1537,790,0.221205187,0.692307692,1.451300765,0.592141897,1.254482271,0.223050099,0.764682177,4.33073334,4.521788577,0.539827803,0.64851054,0.352238785,21,8
12,Genomoviridae,Gemycircularvirus,0.860841424,0.502857143,0.814373717,0.52572234,90,34.47330677,0.333,131,26.18358663,0.394,1236,1064,2435,1983,1225,616,1419,746,0.209118541,0.23187251,1.036920871,0.526901074,0.951649212,0.210673484,0.234002215,4.49980967,4.875197323,0.553564047,0.404979588,0.339483378,25,51
13,Genomoviridae,Gemygorvirus,0.860841424,0.7,0.814373717,0.091858038,7,31.3,0.565,15,46.33402923,0.65,1236,1064,2435,1983,10,7,479,44,0.025052192,0.1,1.036920871,0.775397497,0.951649212,0.025054813,0.100167421,1.945910149,2.708050201,0.091987712,0.707584437,0.600433254,3,2
14,Genomoviridae,Gemykibivirus,0.860841424,1,0.814373717,0.159292035,14,14,0,23,18.9159292,0.427,1236,1064,2435,1983,1,1,226,36,0.039823009,0,1.036920871,1.570796327,0.951649212,0.039833542,0,2.63905733,3.135494216,0.15997349,0.441172507,0,4,1
15,Genomoviridae,Gemykolovirus,0.860841424,,0.814373717,0.066225166,0,,0,5,24.32119205,0.579,1236,1064,2435,1983,,,302,20,0.013245033,,1.036920871,,0.951649212,0.01324542,,,1.609437912,0.06627367,0.617501655,0,4,
16,Genomoviridae,Gemykrogvirus,0.860841424,,0.814373717,0.444444444,0,,0,5,22,0,1236,1064,2435,1983,,,9,4,0,,1.036920871,,0.951649212,0,,,1.609437912,0.460553991,0,0,1,
17,Smacoviridae,Huchismacovirus,0.732484076,0.090909091,0.68852459,0.177419355,26,23.3373494,0.624,25,34.34883721,0.787,157,115,183,126,11,1,62,11,0,0,0.821963669,0.091034778,0.759452632,0,0,3.258096538,3.218875825,0.178363582,0.905931196,0.673851164,2,1
18,Smacoviridae,Porprismacovirus,0.732484076,0.445945946,0.68852459,0.454545455,21,31.32432432,0.266,21,16.45454545,0.443,157,115,183,126,74,33,11,5,0,0,0.821963669,0.462230835,0.759452632,0,0,3.044522438,3.044522438,0.471861838,0.458942184,0.269241147,3,14
19,Smacoviridae,unclassified Smacoviridae,0.732484076,0.638888889,0.68852459,0.177419355,0,23.88888889,0,0,38.57272727,0,157,115,183,126,72,46,110,48,,,0.821963669,0.693053082,0.759452632,,,,,0.178363582,0,0,3,5
20,Bacilladnaviridae,Protobacilladnavirus,,,1,1,0,,0,0,16,0,,,1,1,,,1,1,0,,,,1.570796327,0,,,,1.570796327,0,0,1,
